OutcodePLUSOne,Latitude,Longitude
AB10 1,57.1444668869565,-2.10672344782609
AB11 5,57.1446328055555,-2.08929972222222
AB11 7,57.1353587586207,-2.10265370689655
AB11 9,57.1367932040816,-2.08277730612245
AB12 4,57.0637178150685,-2.13428934931507
AB12 5,57.1125247295082,-2.12852675
AB12 9,57.1332980147058,-2.09622632352941
AB15 4,57.1418827637795,-2.13572092125984
AB15 5,57.1490605981308,-2.1347553271028
AB15 8,57.146568497854,-2.19449551072961
AB16 6,57.1545426847291,-2.1676678226601
AB16 9,57.153331827957,-2.15064043010753
AB21 1,57.199797,-2.19089
AB21 7,57.2101478947368,-2.1828025497076
AB21 9,57.1799356101695,-2.18294361864407
AB22 8,57.1864388266666,-2.12101032
AB23 8,57.2121331003237,-2.08850675404531
AB24 3,57.1616266648044,-2.10395730726257
AB25 1,57.1505385231788,-2.10668640397351
AB25 2,57.1505831381215,-2.1199345801105
AB25 3,57.1574974214286,-2.11479312857143
AB30 1,56.8466150228758,-2.47832314052288
AB32 6,57.1527618975265,-2.29980528268551
AB32 9,57.148532,-2.288831
AB33 8,57.2247777992278,-2.74231349420849
AB34 4,57.1313548169014,-2.85728861971831
AB35 5,57.0389216107785,-3.14544328143713
AB38 9,57.4739423431372,-3.21155593137255
AB39 2,56.9608254053156,-2.22008299003322
AB39 3,57.0036632169312,-2.21552854497354
AB42 0,57.4273624832215,-1.88873097986577
AB42 4,57.5321176195122,-2.01459278536585
AB42 5,57.504617225641,-2.0457456974359
AB43 6,57.6064849251701,-2.15884955782313
AB43 7,57.6690097532467,-2.08887566883117
AB43 8,57.63892085625,-1.94408404375
AB45 2,57.656996367347,-2.67892803673469
AB45 3,57.6356909534884,-2.46851959534884
AB51 0,57.2925374686567,-2.34407554328358
AB51 3,57.279469,-2.37814381879195
AB51 7,57.1909908113208,-2.52847043396226
AB51 8,57.4087238494623,-2.4399317311828
AB53 4,57.5399840571429,-2.48493670612245
AB53 5,57.5746354722223,-2.35051517361111
AB53 6,57.5207763478261,-2.22261047826087
AB54 4,57.3877663146552,-2.8524619137931
AB54 7,57.5439921977401,-2.68493950847458
AB55 4,57.4457097272727,-3.12308192045455
AB55 5,57.5317517405406,-2.96255147027027
AB56 1,57.6748364964539,-2.96547562411348
AB56 4,57.6913632403846,-2.86391037980769
AL1 1,51.7447279137056,-0.328906868020305
AL1 3,51.7528088089431,-0.330867447154471
AL1 4,51.7574606141079,-0.316750697095436
AL1 5,51.7467813083004,-0.312158229249012
AL1 9,51.7479211874999,-0.30237628125
AL10 1,51.764314,-0.22617
AL3 5,51.7590288931624,-0.339408871794872
AL3 7,51.7974006304348,-0.400010902173913
AL3 8,51.8278871604279,-0.451882235294118
AL4 0,51.7473344558304,-0.285887823321555
AL4 8,51.8128404418605,-0.297267106976744
AL5 1,51.8060871472081,-0.339623812182742
AL5 3,51.8267288235294,-0.379216610294118
AL5 4,51.8225730836654,-0.35199203187251
AL5 9,51.814769,-0.353497
AL6 0,51.8318883939394,-0.182712996212121
AL6 9,51.8322910225225,-0.218430405405405
AL7 1,51.8068155679612,-0.188925237864078
AL7 3,51.7946358628319,-0.190810504424779
AL7 4,51.7869318922414,-0.191358099137931
AL7 9,51.8044845156251,-0.196022171875
AL8 6,51.7985660533333,-0.2118136
AL9 5,51.76676571875,-0.2097975078125
AL9 7,51.7299924226804,-0.208616231958763
B1 2,52.4792731293103,-1.9121203362069
B1 3,52.482795954023,-1.91079643678161
B10 0,52.4686780320513,-1.85980687179487
B11 1,52.462332741573,-1.87094041573034
B11 2,52.4560720720721,-1.84687886486486
B11 4,52.4513193286713,-1.86689736363636
B11 9,52.458716,-1.869691
B12 0,52.4681629328859,-1.88427439597315
B12 8,52.4559446011905,-1.87795763095238
B12 9,52.4580193851351,-1.89017370945946
B13 0,52.4265249422222,-1.87295948888889
B13 3,52.427533,-1.891091
B14 5,52.4076809237668,-1.89346580269058
B14 7,52.4326475722891,-1.89435548795181
B15 3,52.4668958404908,-1.9357859202454
B16 0,52.4820678013699,-1.94274578767123
B16 8,52.4756084539878,-1.92350774233129
B16 9,52.4743569863946,-1.93877619727891
B17 8,52.4706443575419,-1.96783153631285
B17 9,52.4608470051813,-1.95827767875648
B18 4,52.4920720175439,-1.93961309649123
B18 5,52.4949354918033,-1.92412946721312
B18 7,52.4880778539326,-1.92654603370786
B19 2,52.4981128322148,-1.90347783221476
B19 3,52.4906997922078,-1.9037108961039
B2 4,52.4787014854368,-1.89870137864078
B2 5,52.4798212340426,-1.89952344680851
B20 1,52.524264872,-1.93563704
B20 3,52.5112589900498,-1.90552874626866
B21 0,52.5029830903614,-1.94466220481928
B21 1,52.500079,-1.920434
B21 8,52.5118893272727,-1.94763441818182
B21 9,52.507023512987,-1.93406777922078
B23 5,52.5367046192171,-1.85385564056939
B23 6,52.525350716895,-1.84661926484018
B24 0,52.5249419052133,-1.81433937914692
B24 8,52.5131855679012,-1.8432357962963
B24 9,52.519488713615,-1.82895570892019
B25 8,52.4657677126437,-1.82122149425287
B26 1,52.4608987735849,-1.80447537735849
B26 2,52.4677843266332,-1.79038124623116
B27 6,52.4503237346939,-1.81927492346939
B28 0,52.4205250566038,-1.84728789811321
B28 9,52.4280983483871,-1.836048
B29 6,52.4402109242424,-1.94211898484849
B29 7,52.4412440295858,-1.92153843195266
B29 9,52.438282,-1.935799
B3 2,52.4793889999999,-1.90187847863247
B3 3,52.4801977636364,-1.90325352727273
B30 3,52.4138416196319,-1.9173482208589
B30 9,52.417179,-1.930139
B31 3,52.4016351911111,-1.95912404888889
B32 1,52.4578786162791,-2.00034429069767
B32 2,52.4569389345794,-1.98134238317757
B33 0,52.4753952991453,-1.77106078632478
B33 3,52.485746,-1.786864
B33 8,52.4797429428572,-1.80376983809524
B34 6,52.4965738870057,-1.79234497740113
B35 6,52.5224290232558,-1.78786733333333
B36 0,52.5022757,-1.75437131
B36 8,52.5034287360406,-1.81089930456853
B36 9,52.5078394913295,-1.77177367630058
B37 5,52.4783528357488,-1.7490994879227
B37 6,52.4884936388889,-1.74387723611111
B37 9,52.4825888461538,-1.74494769230769
B38 0,52.3963825357143,-1.91174308928571
B4 6,52.4831110096154,-1.8968325
B4 7,52.48246059,-1.89206807
B42 2,52.5363128205128,-1.9096605025641
B42 9,52.540094,-1.887438
B43 5,52.5393228505747,-1.94205329310345
B43 6,52.5471074417178,-1.93880283435583
B44 8,52.5385477661692,-1.89128265174129
B45 5,52.385949,-2.0029
B46 3,52.4922159375,-1.70576598958333
B46 9,52.498159,-1.705787
B47 5,52.3910434027778,-1.87973629861111
B49 5,52.216363,-1.88721497515528
B49 6,52.2184761657459,-1.85083523756906
B5 4,52.4759440843373,-1.89849365060241
B5 5,52.4784319508197,-1.88776826229508
B5 6,52.4731918730159,-1.89267931746032
B5 7,52.4623312352941,-1.90241357219251
B50 4,52.1688755085714,-1.85545832
B6 5,52.5015144105263,-1.88607186315789
B6 7,52.5112837868853,-1.87714895901639
B60 3,52.3200944285714,-2.05872374384237
B60 4,52.2954820347222,-2.069583
B60 9,52.3253591927711,-2.05495726506024
B61 0,52.3588254351464,-2.05462076569038
B61 8,52.3396941646341,-2.06570356707317
B61 9,52.3525155474453,-2.09212216058394
B63 2,52.4599344795082,-2.08595348770492
B63 3,52.4537546561086,-2.05324775113122
B64 7,52.4670529542483,-2.06768729411765
B65 9,52.48625135,-2.03970782777778
B66 1,52.5017074608696,-1.98178051304348
B67 7,52.4943554303797,-1.98004956329114
B68 0,52.4675876906077,-2.00138264088398
B68 9,52.4813949904762,-1.99576808571429
B69 2,52.5067739863945,-2.03448632653061
B69 3,52.5117872783505,-2.02950119587629
B7 4,52.4887587785714,-1.87860907142857
B7 5,52.4992672986111,-1.86750419444445
B70 0,52.5327827647059,-2.01874885784314
B70 6,52.5127436518987,-1.98475646202532
B70 9,52.5213929329609,-2.01189589944134
B71 1,52.5312585532995,-1.99609578172589
B71 2,52.5411778854167,-2.000533546875
B71 4,52.5221371121495,-1.98292963551402
B72 1,52.5510264485597,-1.82235336213992
B73 5,52.5454639879032,-1.83918789516129
B73 6,52.5581748734177,-1.84864120253164
B73 9,52.5690809999999,-1.82999899999999
B74 4,52.5935116544716,-1.84526561788618
B75 5,52.5918429145299,-1.81629561538462
B75 6,52.5777846435644,-1.81117771287129
B77 1,52.6104129470588,-1.68499306470588
B77 4,52.6214894698795,-1.65053481927711
B77 5,52.6049528272252,-1.66524378534031
B77 9,52.6292551111111,-1.68741285714286
B78 2,52.5722541119403,-1.6923027238806
B78 3,52.6192398333333,-1.7169698974359
B79 0,52.6578606120689,-1.60777818103448
B79 8,52.6449717,-1.6991002047619
B79 9,52.6854166041667,-1.69174615625
B8 1,52.4899284885058,-1.85665087931035
B8 3,52.4881328695652,-1.84148958695652
B80 7,52.2749018564593,-1.89411003827751
B9 4,52.4778600814815,-1.86788745185185
B9 9,52.477997,-1.851951
B90 2,52.4060319523809,-1.83472870952381
B90 3,52.4120632681818,-1.82105055454545
B90 4,52.3915104261168,-1.80562303092784
B90 8,52.3771856666667,-1.80150086666667
B90 9,52.407990219178,-1.82566164383561
B91 1,52.4164087405858,-1.79903249790795
B91 2,52.4217995145228,-1.771717593361
B91 9,52.4134030759493,-1.77555751898734
B92 0,52.4247226382979,-1.71739326241135
B92 8,52.4407980480349,-1.78871685152838
B92 9,52.43801681875,-1.76884801875
B93 0,52.3766426666667,-1.72220041085271
B94 5,52.3453934658385,-1.81845724223602
B94 6,52.3549606201117,-1.77085273184358
B96 6,52.2528819565217,-1.96053453623188
B97 4,52.3032696547619,-1.94724491071429
B97 5,52.2864882032787,-1.95872446229508
B97 9,52.3109137142857,-1.937702
B98 0,52.2999168584475,-1.89638446118721
B98 9,52.3194251287879,-1.89798436363636
B99 1,52.4959547115385,-1.89423140384616
BA1 0,51.3797602482268,-2.35647602836879
BA1 1,51.3808171340782,-2.36025212849162
BA1 2,51.3862771554622,-2.36723455042017
BA1 6,51.3952661025641,-2.3511064059829
BA1 8,51.4156072615385,-2.341325
BA1 9,51.4124469714286,-2.40463508571429
BA10 0,51.1123393930636,-2.44722893063584
BA11 1,51.228516895,-2.320567515
BA11 3,51.2350943608247,-2.35568512886598
BA11 4,51.219485227027,-2.34390105405405
BA11 5,51.2082260076336,-2.32231116030534
BA11 6,51.2740664155844,-2.28428154545455
BA12 0,51.1763730444444,-2.07801205777778
BA12 9,51.200921382653,-2.17360159183673
BA13 2,51.2580391818182,-2.19847854545455
BA13 4,51.2662020155642,-2.17174769649806
BA14 0,51.3077720992908,-2.21243839716312
BA14 4,51.3202876551724,-2.20552589655172
BA14 9,51.3099643862661,-2.23035319742489
BA15 1,51.3461797245283,-2.24921979622642
BA15 2,51.3511532162162,-2.27186242702703
BA15 5,51.336378,-2.251114
